YEAR,MONTH,DAY,TMAX,TMIN
2015,1,1,27.1,20.1
2015,1,2,26.7,20.3
2015,1,3,27.8,21.1
2015,1,4,29.7,22.4
2015,1,5,30,22.9
2015,1,6,29.9,22
2015,1,7,30.6,22.1
2015,1,8,28.2,21.9
2015,1,9,26.5,20.1
2015,1,10,26.8,19.6
2015,1,11,26.8,20.9
2015,1,12,28.5,21.6
2015,1,13,27.9,22.3
2015,1,14,29.7,20.9
2015,1,15,29.9,22.2
2015,1,16,28.5,21.1
2015,1,17,26.8,21.2
2015,1,18,24.6,19.1
2015,1,19,29.2,20.8
2015,1,20,30.1,22.9
2015,1,21,29.2,21.3
2015,1,22,28.3,21.6
2015,1,23,26.7,20.4
2015,1,24,26.8,20
2015,1,25,29.2,21.2
2015,1,26,28.6,21.1
2015,1,27,29.2,21.9
2015,1,28,30.1,22.3
2015,1,29,30.2,22.1
2015,1,30,28.9,21.4
2015,1,31,28.3,21.4
2015,2,1,27.1,20.1
2015,2,2,27.6,19.9
2015,2,3,27.6,20.1
2015,2,4,27.5,20.2
2015,2,5,29.4,21
2015,2,6,29.3,21.4
2015,2,7,29,21.2
2015,2,8,29.9,20.6
2015,2,9,29.7,20.9
2015,2,10,29.4,21.8
2015,2,11,29.2,22.2
2015,2,12,30.1,21.1
2015,2,13,27.8,22.1
2015,2,14,28,22.1
2015,2,15,28.3,22.8
2015,2,16,30.8,22
2015,2,17,30.9,22.7
2015,2,18,29.8,22.4
2015,2,19,28.7,22.3
2015,2,20,27.4,21.7
2015,2,21,28.6,20.9
2015,2,22,30.8,20.3
2015,2,23,31.1,21.4
2015,2,24,30.8,22.2
2015,2,25,30.4,21.5
2015,2,26,31.1,23
2015,2,27,32.1,23.1
2015,2,28,31.1,22.4
2015,3,1,31.9,23.2
2015,3,2,31.1,20.4
2015,3,3,31.4,19.8
2015,3,4,32.8,21.4
2015,3,5,31.5,21.7
2015,3,6,32,23.2
2015,3,7,31.9,22.9
2015,3,8,31.2,21.4
2015,3,9,32.2,21.2
2015,3,10,29.7,22.7
2015,3,11,28,22.1
2015,3,12,31.1,23.3
2015,3,13,30,22.5
2015,3,14,30.9,22.8
2015,3,15,32,22.7
2015,3,16,30.9,21.7
2015,3,17,31.4,21
2015,3,18,32.5,22.8
2015,3,19,33.4,21.3
2015,3,20,34.4,24
2015,3,21,34.2,24.9
2015,3,22,29.6,24.6
2015,3,23,28.6,23.6
2015,3,24,31.1,23.8
2015,3,25,29.8,23.9
2015,3,26,30,23.1
2015,3,27,31.6,23.9
2015,3,28,32.4,23.1
2015,3,29,33.1,22.6
2015,3,30,33.2,22.8
2015,3,31,33.8,24.4
2015,4,1,34.2,24.1
2015,4,2,33.8,24.1
2015,4,3,34.2,23.3
2015,4,4,35,25.4
2015,4,5,31.6,23.6
2015,4,6,35,24.8
2015,4,7,33.1,23.9
2015,4,8,31,24.3
2015,4,9,32.4,23.5
2015,4,10,33.7,24.2
2015,4,11,32.9,23
2015,4,12,33.9,24.1
2015,4,13,32.6,23.8
2015,4,14,33.4,23.6
2015,4,15,31.9,23.8
2015,4,16,35.1,24.2
2015,4,17,32.9,24.4
2015,4,18,33.7,25.2
2015,4,19,34.2,26
2015,4,20,33.5,25.5
2015,4,21,32.9,24.5
2015,4,22,33.5,25
2015,4,23,32.9,24.2
2015,4,24,33.1,25.4
2015,4,25,32.6,25.1
2015,4,26,33,24.5
2015,4,27,34.5,24.7
2015,4,28,34.1,25.2
2015,4,29,34.1,26.1
2015,4,30,34.4,25.8
2015,5,1,34.7,24.9
2015,5,2,35.5,26.2
2015,5,3,33.3,25.2
2015,5,4,35.2,22.7
2015,5,5,33,25.1
2015,5,6,32.4,24.5
2015,5,7,34.5,23.7
2015,5,8,34.5,23.5
2015,5,9,34.9,24.4
2015,5,10,32.2,25.4
2015,5,11,31.9,25.3
2015,5,12,31.9,25.3
2015,5,13,34.2,25.2
2015,5,14,33.9,25.3
2015,5,15,34.2,25.4
2015,5,16,35.6,25.7
2015,5,17,33.7,24.9
2015,5,18,33.5,25.6
2015,5,19,34,25.5
2015,5,20,32.6,25.8
2015,5,21,32.5,24.6
2015,5,22,33.4,25.7
2015,5,23,33,25.3
2015,5,24,33.9,24.7
2015,5,25,33.8,24.4
2015,5,26,32.4,24.8
2015,5,27,32.3,24.7
2015,5,28,32.6,25.4
2015,5,29,33.4,23.6
2015,5,30,32.3,24.9
2015,5,31,34.3,25.9
2015,6,1,34.1,25.3
2015,6,2,34.3,26.4
2015,6,3,34.7,24.6
2015,6,4,34.8,26.9
2015,6,5,35,25.1
2015,6,6,34.1,23.1
2015,6,7,34.3,26
2015,6,8,34.6,25.4
2015,6,9,34.6,25.4
2015,6,10,34.9,23.7
2015,6,11,33.9,26.8
2015,6,12,34.6,26.4
2015,6,13,34,25
2015,6,14,33.6,26.5
2015,6,15,33.1,26.3
2015,6,16,33.8,25.8
2015,6,17,34.7,24.3
2015,6,18,31.8,24.3
2015,6,19,32.4,24.2
2015,6,20,30.9,24.2
2015,6,21,29.5,23.7
2015,6,22,29.9,23.8
2015,6,23,31.2,24.8
2015,6,24,33,24.2
2015,6,25,32.9,25.8
2015,6,26,32.1,24.1
2015,6,27,33.2,24.5
2015,6,28,33.6,24.7
2015,6,29,34.1,25.1
2015,6,30,32.9,25.9
2015,7,1,32.2,25.3
2015,7,2,32.9,25.6
2015,7,3,33.6,24.6
2015,7,4,32.3,24.8
2015,7,5,27.7,21.4
2015,7,6,25.8,22
2015,7,7,28.4,23.4
2015,7,8,27.9,24.2
2015,7,9,27.4,23.9
2015,7,10,29.9,24.1
2015,7,11,28.7,24.6
2015,7,12,30.2,23.9
2015,7,13,31.3,24.4
2015,7,14,26.9,24.2
2015,7,15,30.4,24.6
